11
4 4 3
0 1 1 70
0 2 0 70
1 3 0 70
2 3 0 40
5 8 3
2 3 40 45
0 2 0 91
2 4 40 13
0 1 50 60
1 4 80 47
4 3 0 50
3 0 100 44
2 1 0 48
10 30 1
3 4 37 4
6 8 9 41
4 7 77 4
8 5 23 80
7 6 0 38
3 5 0 59
3 1 80 36
0 8 0 43
6 2 42 81
9 2 0 101
9 3 93 14
0 7 56 83
6 1 0 87
9 7 95 22
9 4 78 80
1 9 97 40
8 3 95 43
5 9 70 40
5 1 39 50
2 8 23 49
4 3 103 23
6 3 0 72
0 6 46 97
4 5 19 76
3 0 101 72
9 0 49 38
2 1 41 91
5 3 58 50
9 5 67 55
4 8 0 60
20 380 1
0 1 3 142
0 2 21 63
0 3 13 57
0 4 31 23
0 5 0 96
0 6 22 102
0 7 14 108
0 8 52 34
0 9 0 68
0 10 25 89
0 11 11 89
0 12 0 111
0 13 12 54
0 14 22 95
0 15 0 72
0 16 0 93
0 17 0 105
0 18 0 97
0 19 9 123
1 0 3 142
1 2 24 84
1 3 0 87
1 4 5 123
1 5 0 77
1 6 6 39
1 7 0 41
1 8 0 111
1 9 24 97
1 10 0 82
1 11 36 57
1 12 23 41
1 13 29 88
1 14 18 76
1 15 28 78
1 16 10 89
1 17 28 49
1 18 38 53
1 19 0 21
2 0 20 63
2 1 5 84
2 3 54 34
2 4 0 53
2 5 27 36
2 6 7 46
2 7 51 46
2 8 4 43
2 9 7 62
2 10 0 70
2 11 58 27
2 12 10 49
2 13 23 27
2 14 51 35
2 15 0 9
2 16 0 80
2 17 36 64
2 18 53 34
2 19 37 70
3 0 0 57
3 1 5 87
3 2 47 34
3 4 55 36
3 5 0 68
3 6 41 50
3 7 6 61
3 8 50 24
3 9 0 28
3 10 0 40
3 11 0 44
3 12 0 65
3 13 28 8
3 14 0 67
3 15 0 41
3 16 0 48
3 17 0 48
3 18 42 53
3 19 0 68
4 0 19 23
4 1 9 123
4 2 28 53
4 3 0 36
4 5 18 89
